,film,revenue,release_date
468,Book of Shadows: Blair Witch 2,47737094,2000-10-27
469,Almost Famous,47386287,2000-09-15
470,High Fidelity,47126295,2000-03-17
471,Dracula 2000,47053625,2000-12-22
472,The Tigger Movie,45554533,2000-02-11
473,Dancer in the Dark,40031879,2000-06-30
474,Memento,39723096,2000-10-11
475,The Legend of Bagger Vance,39459427,2000-11-02
476,Urban Legends: Final Cut,38574362,2000-09-22
477,The Original Kings of Comedy,38251106,2000-08-18
478,Bounce,36779296,2000-11-15
479,'N Sync: Live from Madison Square Garden,36757613,2000-11-21
480,Titan A.E.,36754634,2000-06-16
481,Return to Me,36609995,2000-04-07
482,My Dog Skip,35547761,2000-01-12
483,The Adventures of Rocky & Bullwinkle,35134820,2000-06-30
484,The Skulls,35007180,2000-03-31
485,Thirteen Days,34566746,2000-12-24
486,Where the Heart Is,33771174,2000-04-27
487,Red Planet,33463969,2000-11-10
488,Reindeer Games,32168970,2000-02-25
489,Lost Souls,31355910,2000-10-13
490,The Art of War,30199105,2000-08-25
491,Battlefield Earth,29000000,2000-05-12
492,Boiler Room,28780255,2000-02-18
493,The Little Vampire,27965865,2000-10-27
494,Love & Basketball,27728118,2000-04-21
495,Center Stage,26385941,2000-05-12
496,Saving Grace,26330482,2000-01-24
497,Battle Royale,25000000,2000-12-16
498,The Next Best Thing,24362772,2000-03-03
499,Dr. T & the Women,22844291,2000-09-13
500,Harry Potter and the Philosopher's Stone,976475550,2001-11-16
501,The Lord of the Rings: The Fellowship of the Ring,871368364,2001-12-18
502,"Monsters, Inc.",562816256,2001-11-01
503,Shrek,487853320,2001-05-18
504,Ocean's Eleven,450717150,2001-12-07
505,Pearl Harbor,449220945,2001-05-21
506,The Mummy Returns,443280904,2001-05-04
507,Jurassic Park III,368780809,2001-07-18
508,Planet of the Apes,362211740,2001-07-25
509,Hannibal,351692268,2001-02-08
510,Rush Hour 2,347325802,2001-08-03
511,A Beautiful Mind,313542341,2001-12-11
512,American Pie 2,287553595,2001-08-10
513,Bridget Jones's Diary,281929795,2001-04-13
514,Spirited Away,274925095,2001-07-20
515,Lara Croft: Tomb Raider,274703340,2001-06-11
516,A.I. Artificial Intelligence,235926552,2001-06-29
517,The Others,209947037,2001-08-02
518,The Fast and the Furious,207283925,2001-06-22
519,Vanilla Sky,203388341,2001-01-22
520,Atlantis: The Lost Empire,186053725,2001-06-02
521,Moulin Rouge!,179213434,2001-05-24
522,Dr. Dolittle 2,176104344,2001-06-22
523,Amélie,173921954,2001-04-25
524,Black Hawk Down,172989651,2001-12-28
525,The Princess Diaries,165335153,2001-08-03
526,Spy Kids,147934180,2001-03-18
527,The Mexican,147845033,2001-03-01
528,Swordfish,147080413,2001-06-07
529,Spy Game,143049560,2001-11-18
530,Legally Blonde,141774679,2001-07-13
531,Scary Movie 2,141220678,2001-07-04
532,Shallow Hal,141069860,2001-11-01
533,America's Sweethearts,138191428,2001-07-17
534,Save the Last Dance,131706809,2001-01-12
535,A Gambler's Story,123021750,2001-10-11
536,A Knight's Tale,117487473,2001-05-11
537,The Score,113579918,2001-07-13
538,Along Came a Spider,105178561,2001-04-06
539,Training Day,104876233,2001-10-05
540,Don't Say a Word,100020092,2001-09-28
541,Evolution,98376292,2001-06-08
542,Enemy at the Gates,96976270,2001-03-14
543,The Wedding Planner,94728529,2001-01-26
544,Cats & Dogs,93375151,2001-07-04
545,I Am Sam,92542418,2001-12-28
546,Behind Enemy Lines,91753202,2001-11-30
547,Gosford Park,87754044,2001-11-07
548,Ali,87713825,2001-12-10
549,Rat Race,85498534,2001-08-17
550,Final Fantasy: The Spirits Within,85131830,2001-07-02
551,The Animal,84772742,2001-06-01
552,Blow,83282296,2001-04-04
553,Jimmy Neutron: Boy Genius,80936232,2001-12-21
554,Exit Wounds,79958599,2001-03-13
555,Serendipity,77516304,2001-10-05
556,Kate & Leopold,76019048,2001-12-25
557,Manitou's Shoe,75675074,2001-07-11
558,From Hell,74558115,2001-02-08
559,The One,72689126,2001-11-02
560,The Royal Tenenbaums,71441250,2001-10-05
561,Down to Earth,71186502,2001-02-16
562,Brotherhood of the Wolf,70752904,2001-01-31
563,Thir13en Ghosts,68467960,2001-10-26
564,Bandits,67631903,2001-10-12
565,Not Another Teen Movie,66468332,2001-12-07
566,Sweet November,65754228,2001-02-16
567,Kiss of the Dragon,64437847,2001-07-06
568,Captain Corelli's Mandolin,62112895,2001-04-18
569,Zoolander,60780981,2001-09-28
570,Jeepers Creepers,59217789,2001-07-01
571,Heartbreakers,57756408,2001-03-23
572,15 Minutes,56359980,2001-03-01
573,Driven,54744738,2001-04-27
574,Domestic Disturbance,54249294,2001-10-28
575,K-PAX,50315140,2001-10-22
576,Monster's Ball,44909486,2001-06-07
577,Recess: School's Out,44460850,2001-01-27
578,Shaolin Soccer,42776760,2001-07-05
579,Would I Lie to You? 2,42700000,2001-02-07
580,Hardball,40222729,2001-09-14
581,Crocodile Dundee in Los Angeles,39438674,2001-04-12
582,Someone Like You...,38689940,2001-03-30
583,What's the Worst That Could Happen?,38400000,2001-05-31
584,The Majestic,37317558,2001-12-21
585,Joy Ride,36642838,2001-10-05
586,Riding in Cars with Boys,35743308,2001-10-19
587,Original Sin,35402320,2001-05-08
588,Zu Warriors,35000000,2001-08-09
589,Jay and Silent Bob Strike Back,33788161,2001-08-22
590,Y Tu Mamá También,33616692,2001-06-08
591,Black Knight,33422806,2001-11-21
592,Double Take,31600000,2001-01-12
593,How High,31155435,2001-12-21
594,Joe Dirt,30987695,2001-04-10
595,Angel Eyes,29700000,2001-05-15
596,The Pledge,29400000,2001-01-19
597,Baby Boy,29381649,2001-06-27
598,Pokémon 4Ever: Celebi - Voice of the Forest,28023563,2001-07-06
599,The Tailor of Panama,28008462,2001-03-30
600,The Lord of the Rings: The Two Towers,926287400,2002-12-18
601,Harry Potter and the Chamber of Secrets,876688482,2002-11-13
602,Spider-Man,821708551,2002-05-01
603,Star Wars: Episode II - Attack of the Clones,649398328,2002-05-15
604,Men in Black II,445135288,2002-07-03
605,Die Another Day,431971116,2002-11-17
606,Signs,408247917,2002-08-02
607,Ice Age,383257136,2002-03-10
608,My Big Fat Greek Wedding,368744044,2002-02-22
609,Minority Report,358372926,2002-06-20
610,Catch Me If You Can,352114312,2002-12-25
611,Chicago,306776732,2002-12-10
612,Austin Powers in Goldmember,296655431,2002-07-26
613,xXx,277448382,2002-08-09
614,Scooby-Doo,275650703,2002-06-14
615,Lilo & Stitch,273144151,2002-06-21
616,The Ring,249348933,2002-10-18
617,8 Mile,242875078,2002-11-08
618,The Bourne Identity,214034224,2002-06-14
619,Red Dragon,209196298,2002-09-29
620,Two Weeks Notice,199043242,2002-12-19
621,Panic Room,197079546,2002-03-29
622,The Sum of All Fears,193921372,2002-05-31
623,Gangs of New York,193772504,2002-12-14
624,Road to Perdition,181001478,2002-07-12
625,Sweet Home Alabama,180622424,2002-09-26
626,Hero,177394432,2002-07-22
627,The Santa Clause 2,172842355,2002-10-31
628,Mr. Deeds,171269535,2002-06-28
629,Stuart Little 2,169956806,2002-07-19
630,The Scorpion King,165333180,2002-04-18
631,Space Station 3D,163333893,2002-04-17
632,Blade II,155010032,2002-03-22
633,Maid in Manhattan,154906693,2002-12-13
634,About a Boy,129000000,2002-04-26
635,The Time Machine,123729176,2002-03-04
636,Spirit: Stallion of the Cimarron,122563539,2002-05-24
637,The Pianist,120072577,2002-09-17
638,Spy Kids 2: The Island of Lost Dreams,119723358,2002-08-07
639,Unfaithful,119137784,2002-05-10
640,We Were Soldiers,114660784,2002-03-01
641,Insomnia,113714830,2002-05-24
642,Asterix & Obelix: Mission Cleopatra,111127553,2002-01-30
643,Return to Never Land,109862682,2002-02-14
644,Treasure Planet,109578115,2002-11-26
645,About Schmidt,105834556,2002-12-12
